iter	Passed	Remaining
658	6304	3262
659	6313	3252
660	6322	3242
661	6333	3233
662	6342	3223
663	6352	3214
664	6362	3204
665	6370	3194
666	6381	3185
667	6389	3175
668	6399	3166
669	6408	3156
670	6417	3146
671	6428	3137
672	6437	3127
673	6447	3118
674	6456	3108
675	6466	3099
676	6475	3089
677	6484	3079
678	6494	3070
679	6502	3060
680	6512	3050
681	6520	3040
682	6530	3030
683	6538	3020
684	6547	3011
685	6557	3001
686	6566	2991
687	6576	2982
688	6585	2972
689	6595	2963
690	6604	2953
691	6613	2943
692	6623	2933
693	6632	2924
694	6642	2915
695	6651	2905
696	6660	2895
697	6669	2885
698	6678	2875
699	6687	2866
700	6696	2856
701	6704	2846
702	6713	2836
703	6723	2826
704	6731	2816
705	6741	2807
706	6749	2797
707	6758	2787
708	6767	2777
709	6776	2767
710	6786	2758
711	6795	2748
712	6805	2739
713	6814	2729
714	6824	2720
715	6832	2710
716	6843	2701
717	6853	2691
718	6862	2682
719	6873	2673
720	6883	2663
721	6893	2654
722	6903	2644
723	6912	2635
724	6921	2625
725	6932	2616
726	6941	2606
727	6952	2597
728	6961	2587
729	6970	2578
730	6980	2568
731	6990	2559
732	7001	2550
733	7010	2540
734	7020	2531
735	7030	2521
736	7039	2511
737	7048	2502
738	7058	2492
739	7069	2483
740	7079	2474
741	7088	2464
742	7098	2455
743	7107	2445
744	7117	2436
745	7126	2426
746	7136	2417
747	7146	2407
748	7155	2398
749	7166	2388
750	7174	2378
751	7184	2369
752	7193	2359
753	7201	2349
754	7211	2340
755	7220	2330
756	7230	2320
757	7239	2311
758	7248	2301
759	7257	2291
760	7267	2282
761	7275	2272
762	7284	2262
763	7295	2253
764	7304	2243
765	7314	2234
766	7323	2224
767	7332	2214
768	7341	2205
769	7350	2195
770	7360	2186
771	7370	2176
772	7379	2167
773	7389	2157
774	7398	2147
775	7409	2138
776	7418	2129
777	7429	2119
778	7439	2110
779	7448	2100
780	7458	2091
781	7469	2082
782	7481	2073
783	7495	2065
784	7508	2056
785	7519	2047
786	7530	2038
787	7542	2029
788	7553	2020
789	7563	2010
790	7574	2001
791	7584	1991
792	7594	1982
793	7604	1972
794	7613	1963
795	7623	1953
796	7633	1944
797	7642	1934
798	7652	1925
799	7662	1915
800	7671	1906
801	7681	1896
802	7692	1887
803	7706	1878
804	7717	1869
805	7727	1860
806	7741	1851
807	7753	1842
808	7765	1833
809	7776	1824
810	7787	1814
811	7799	1805
812	7809	1796
813	7821	1787
814	7832	1777
815	7843	1768
816	7855	1759
817	7867	1750
818	7878	1741
819	7889	1731
820	7902	1722
821	7912	1713
822	7922	1703
823	7935	1695
824	7947	1685
825	7960	1676
826	7971	1667
827	7983	1658
828	7995	1649
829	8009	1640
830	8023	1631
831	8041	1623
832	8052	1614
833	8064	1605
834	8077	1596
835	8086	1586
836	8098	1577
837	8108	1567
838	8117	1557
839	8127	1548
840	8136	1538
841	8145	1528
842	8154	1518
843	8164	1509
844	8175	1499
845	8186	1490
846	8198	1480
847	8209	1471
848	8220	1462
849	8231	1452
850	8242	1443
851	8252	1433
852	8261	1423
853	8272	1414
854	8281	1404
855	8291	1394
856	8300	1384
857	8309	1375
858	8320	1365
859	8329	1356
860	8340	1346
861	8350	1336
862	8360	1327
863	8371	1317
864	8382	1308
865	8393	1298
866	8406	1289
867	8419	1280
868	8430	1270
869	8440	1261
870	8450	1251
871	8459	1241
872	8471	1232
873	8481	1222
874	8490	1212
875	8500	1203
876	8512	1193
877	8521	1184
878	8532	1174
879	8541	1164
880	8551	1155
881	8561	1145
882	8570	1135
883	8580	1126
884	8590	1116
885	8600	1106
886	8610	1096
887	8620	1087
888	8630	1077
889	8640	1067
890	8652	1058
891	8662	1048
892	8672	1039
893	8685	1029
894	8697	1020
895	8708	1010
896	8719	1001
897	8730	991
898	8743	982
899	8753	972
900	8763	962
901	8774	953
902	8786	943
903	8797	934
904	8809	924
905	8820	915
906	8832	905
907	8845	896
908	8857	886
909	8868	877
910	8883	867
911	8897	858
912	8910	849
913	8923	839
914	8934	829
915	8944	820
916	8954	810
917	8963	800
918	8973	790
919	8983	781
920	8993	771
921	9002	761
922	9011	751
923	9020	741
924	9029	732
925	9038	722
926	9047	712
927	9057	702
928	9066	692
929	9075	683
930	9085	673
931	9094	663
932	9104	653
933	9107	643
934	9117	633
935	9126	624
936	9136	614
937	9146	604
938	9156	594
939	9165	585
940	9175	575
941	9185	565
942	9195	555
943	9207	546
944	9217	536
945	9226	526
946	9235	516
947	9243	507
948	9254	497
949	9264	487
950	9274	477
951	9284	468
952	9296	458
953	9309	448
954	9321	439
955	9333	429
956	9342	419
957	9353	410
958	9363	400
959	9373	390
960	9385	380
961	9395	371
962	9407	361
963	9422	351
964	9443	342
965	9454	332
966	9471	323
967	9492	313
968	9505	304
969	9519	294
970	9531	284
971	9541	274
972	9551	265
973	9561	255
974	9571	245
975	9582	235
976	9592	225
977	9602	216
978	9612	206
979	9624	196
980	9634	186
981	9646	176
982	9656	167
983	9665	157
984	9675	147
985	9677	137
986	9685	127
987	9695	117
988	9704	107
989	9715	98
990	9727	88
991	9737	78
992	9750	68
993	9760	58
994	9771	49
995	9780	39
996	9792	29
997	9802	19
998	9812	9
999	9823	0
